339355 - Bechs ApS;;;;;;;;;;
Salg » Opsætning »;;;;;;;;;;
Varer;;;;;;;;;;
;;;;;;;;;;
Nr.;Navn;Gruppe;Salgspris;Kostpris;På lager;I ordre;Til rådighed;Bestilt;;
spco4;Cava Bach Semi Secco/Extrisimo;15;45,00;14,88;276,00;72,00;204,00;0,00;;
spco2;Cava Bach Rose Brut;15;45,00;14,89;348,00;108,00;240,00;0,00;;
spco1;Cava Gran Bach;15;65,00;26,07;378,00;78,00;300,00;0,00;;
spiw6;Cava Marques de Portola;15;42,00;0,00;0,00;0,00;0,00;0,00;;
spiw8;Cava Rose Calamino;15;42,00;0,00;0,00;0,00;0,00;0,00;;
spiw7;Cava Royal Carlton Semi Secco;15;52,00;0,00;0,00;0,00;0,00;0,00;;
spce;Cepas e Bodegas Tinto/Villacampa Tinto;11;59,00;30,29;76,00;30,00;46,00;0,00;;
itpe5;Cerida 2011;11;70,00;0,00;0,00;0,00;0,00;0,00;;
frbo4;Ch- Les Grand Chenes 2009;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frai;Ch. Aiguihon;11;38,00;0,00;0,00;0,00;0,00;0,00;;
frbo2;Ch. Cru de Verdun 2006;11;60,00;27,53;90,00;24,00;66,00;0,00;;
frlbo4;Ch. La Raze Beauvallet;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frpu4;Ch. Puech Haut Prestige Blanc 2010;11;105,00;0,00;0,00;0,00;0,00;0,00;;
frpu32;Ch. Puech Haut Prestige Blanc 2013;11;95,00;58,40;1,00;0,00;1,00;0,00;;
frpu49;Ch. Puech Haut Prestige Blanc 2014;11;95,00;0,00;0,00;0,00;0,00;60,00;;
frpu12;Ch. Puech Haut Prestige Rosé 2013;11;85,00;5,93;-1,00;0,00;-1,00;0,00;;
frpu50;Ch. Puech Haut Prestige Rosé 2014;11;90,00;0,00;0,00;12,00;-12,00;300,00;;
frpu41;Ch. Puech Haut Prestige Rosé 2014 3L;11;0,00;0,00;0,00;0,00;0,00;6,00;;
frpu42;Ch. Puech Haut Prestige Rosé 2014 4,5L;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frpu40;Ch. Puech Haut Prestige Rosé 2014 MG;11;200,00;0,00;0,00;6,00;-6,00;48,00;;
