339355 - Bechs ApS;;;;;;;;;;
Salg » Opsætning »;;;;;;;;;;
Varer;;;;;;;;;;
;;;;;;;;;;
Nr.;Navn;Gruppe;Salgspris;Kostpris;På lager;I ordre;Til rådighed;Bestilt;;
itfo4;MAYRO Montepulciano D'Abruzzo 2012;11;50,00;21,59;222,00;0,00;222,00;0,00;;
itto16;Merlot Rosato Tombaco;11;34,00;0,00;0,00;0,00;0,00;0,00;;
frse4;Mersault 1er Cru Les Boucheres 2009;11;330,00;198,66;12,00;0,00;12,00;0,00;;
frse22;Mersault VV 2009;11;205,00;131,96;54,00;12,00;42,00;0,00;;
itor;Millefiori Appasimento 2011;11;60,00;26,11;1.800,00;0,00;1.800,00;0,00;;
itor1;Millefiori Appasimento 2012;11;60,00;3,50;-61,00;168,00;-229,00;0,00;;
frai3;Minervois;11;50,00;0,00;0,00;0,00;0,00;0,00;;
frmo;Montpezat;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frmo4;Montpezat Les Enclos;11;0,00;34,00;0,00;0,00;0,00;0,00;;
frmo5;Montpezat Merlot;11;36,00;0,00;0,00;0,00;0,00;0,00;;
frmo3;Montpezat Palombieres;11;0,00;46,00;0,00;0,00;0,00;0,00;;
frmo2;Montpezat Pharaonne;11;0,00;73,00;0,00;0,00;0,00;0,00;;
frmo1;Montpezat Prestige;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frmo6;Montpezat Sauvignon Blanc;11;0,00;0,00;0,00;0,00;0,00;0,00;;
usdi3;Morada Vineyards Old Vine Zinfandel;12;64,00;22,16;84,00;24,00;60,00;0,00;;
usdi10;Morada Vineyards Pinot Noir;12;64,00;0,00;0,00;0,00;0,00;0,00;;
frje7;Morillon Blanc;11;0,00;40,00;0,00;0,00;0,00;0,00;;
itto19;Moscato Frizzante IGT Veneto;11;38,00;0,00;0,00;0,00;0,00;0,00;;
itto7;Negro Amaro;11;35,00;0,00;0,00;0,00;0,00;0,00;;
itto8;Nero d'Avola;11;34,00;0,00;0,00;0,00;0,00;0,00;;
øsmu14;Neuburger;11;135,00;0,00;0,00;0,00;0,00;60,00;;
frse15;Nuits-st-Georges VV;11;205,00;0,00;0,00;0,00;0,00;0,00;;
spco6;Nuviana Hvid;11;37,50;9,42;342,00;60,00;282,00;0,00;;
spco5;Nuviana Rose;11;37,50;10,80;504,00;78,00;426,00;0,00;;
spco7;Nuviana Rød;11;37,50;10,81;144,00;36,00;108,00;0,00;;
itca13;Oliven ekstra Virgin Olie Bio;21;44,00;0,00;0,00;0,00;0,00;0,00;;
itfo20;Orso Bianca Chardonnay/Sauvignon 2013;11;51,00;20,08;167,00;24,00;143,00;0,00;;
itto11;Oscar Aperitivo;11;36,00;16,42;24,00;0,00;24,00;0,00;;
itla2;Pesto Al Tartufo;21;33,00;20,24;156,00;0,00;156,00;0,00;;
itla1;Pesto Genovese;21;30,00;18,16;-36,00;0,00;-36,00;0,00;;
itla5;Pesto Olive Nere;21;26,00;0,00;0,00;0,00;0,00;0,00;;
frpf20;Pfaffenheim Riesling STEINERT G.C. 2008;11;86,00;48,00;235,00;24,00;211,00;0,00;;
itto5;Piantaferro Amarosso 2011 Il Trullo;11;50,00;19,40;408,00;0,00;408,00;0,00;;
frpi5;Pierre Cros - pinot Noir 2011;11;72,00;0,00;0,00;0,00;0,00;0,00;;
frpi7;Pierre Cros Blanc 2011;11;52,00;0,00;0,00;0,00;0,00;0,00;;
frpi13;Pierre Cros Les Costes;11;52,00;3,20;-12,00;0,00;-12,00;90,00;;
frpi11;Pierre Cros Pinot Noir 2013;11;72,00;0,00;0,00;0,00;0,00;0,00;;
frpi1;Pierre Cros Tradition 2011;11;52,00;0,00;0,00;0,00;0,00;0,00;;
frpi3;Pierre Cros Tradition 2012;11;52,00;0,00;0,00;0,00;0,00;0,00;;
frpi9;Pierre Cros Tradition 2013;11;52,00;25,76;186,00;0,00;186,00;480,00;;
frpi2;Pierre Cros Vielles Vignes 2011/2012;11;80,00;0,00;0,00;0,00;0,00;0,00;;
frpi10;Pierre Cros Vielles Vignes 2013;11;80,00;44,78;18,00;0,00;18,00;0,00;;
frpi14;Pierre Cros Vielles Vignes 2014;11;80,00;5,50;-30,00;24,00;-54,00;900,00;;
frpi4;Pierre Henri - Grenache 2009;11;180,00;0,00;0,00;0,00;0,00;0,00;;
itto10;Pinot Nero Spumante Rose;11;64,00;38,00;0,00;0,00;0,00;0,00;;
øsmu6;Pinot Noir Tassilo Süsenberg;11;108,00;63,25;84,00;0,00;84,00;0,00;;
itpe4;Poggio Colombiv2011;11;76,00;0,00;0,00;0,00;0,00;0,00;;
frse16;Pommard VV;11;205,00;126,72;-2,00;0,00;-2,00;0,00;;
Porto;Porto;4;0,00;0,00;0,00;0,00;0,00;0,00;;
frfo2;Pouilly Fume;11;90,00;0,00;0,00;0,00;0,00;0,00;;
frde17;Prestige Volaille Au Jus de Tuffes;21;25,00;0,00;0,00;0,00;0,00;0,00;;
itto17;ProScic Spumante Dry;11;35,00;9,38;120,00;0,00;120,00;0,00;;
itto4;Prosecco MAGNUM;16;140,00;67,50;36,00;0,00;36,00;0,00;;
itto3;Prosecco Tombarco;15;48,00;0,00;0,00;0,00;0,00;0,00;;
frse12;Puligny Montrachet 1er Cru La Garenne;11;330,00;209,83;18,00;6,00;12,00;0,00;;
frse24;Puligny Montrachet VV 2008;11;220,00;137,93;24,00;0,00;24,00;0,00;;
frje1;Puydeval;11;0,00;0,00;0,00;0,00;0,00;0,00;;
chqu11;Quasar Gr. Reserve Carmenere;12;54,00;0,00;0,00;0,00;0,00;0,00;;
chqu9;Quasar Limited Edition Carbernet Sauvignon;12;70,00;37,50;96,00;0,00;96,00;0,00;;
chqu10;Quasar Limited Edition Late Harvest SB;12;56,00;0,00;0,00;0,00;0,00;0,00;;
chqu7;Quasar Limited Edition Pinot Noir;12;70,00;37,50;72,00;0,00;72,00;0,00;;
chqu8;Quasar Limited Edition Syrah;12;70,00;0,00;0,00;0,00;0,00;0,00;;
chqu4;Quasar Perfecto Cabernet Sauvignon;12;100,00;0,00;0,00;0,00;0,00;0,00;;
chqu2;Quasar Reserve - alle;12;0,00;21,00;0,00;0,00;0,00;0,00;;
chqu12;Quasar Reserve Cabernet Sauvignon;12;46,00;0,00;0,00;0,00;0,00;0,00;;
chqu13;Quasar Reserve Carmenere;12;46,00;18,75;72,00;0,00;72,00;0,00;;
chqu14;Quasar Reserve Chardonnay;12;42,00;0,00;0,00;0,00;0,00;0,00;;
chqu1;Quasar Selection - alle;12;0,00;0,00;0,00;0,00;0,00;0,00;;
chqu5;Quasar Selection Carmenere;12;40,00;0,00;0,00;0,00;0,00;0,00;;
chqu15;Quasar Selection Chardonnay;12;40,00;0,00;0,00;0,00;0,00;0,00;;
chqu6;Quasar Selection Merlot;12;40,00;0,00;0,00;0,00;0,00;0,00;;
chqu16;Quasar Selection Sauvignon Blanc;12;40,00;0,00;0,00;0,00;0,00;0,00;;
itto;Raboso Piave Barrique;11;70,00;0,00;0,00;0,00;0,00;0,00;;
dkbard;Red Duke;1;37,00;24,75;1.050,00;288,00;762,00;0,00;;
frreg;Regusse Aligoté 2009;11;46,00;0,00;0,00;0,00;0,00;0,00;;
frre11;Regusse Chardonnay;11;55,00;0,00;0,00;0,00;0,00;0,00;;
frre15;Regusse Gr. Tradition;11;66,00;0,00;0,00;0,00;0,00;0,00;;
frre14;Regusse Pinot Noir;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frre13;Regusse Rouge;11;54,00;0,00;0,00;0,00;0,00;0,00;;
frre16;Regusse Syrah;11;46,00;0,00;0,00;0,00;0,00;0,00;;
frre12;Regusse Viognier;11;50,00;0,00;0,00;0,00;0,00;0,00;;
frrena01;Renardeyres Rosé;11;36,00;0,00;0,00;0,00;0,00;0,00;;
frre4;Renaudin Blancs de Blans 1´er Cru 2002;15;215,00;60,63;85,00;30,00;55,00;0,00;;
frre9;Renaudin Blancs de Blans 1998;15;215,00;98,16;51,00;0,00;51,00;0,00;;
frre5;Renaudin Blancs de Blans 1999;15;200,00;115,57;54,00;0,00;54,00;0,00;;
frren;Renaudin Brut RESERVE;15;162,00;68,79;157,00;24,00;133,00;0,00;;
frre6;Renaudin Brut Reserve MAGNUM;16;325,00;220,84;21,00;0,00;21,00;0,00;;
frre8;Renaudin Brut Reserve Special Jeraboam 1990;15;1.400,00;0,00;0,00;0,00;0,00;0,00;;
frre3;Renaudin Brut Reserve Special MAGNUM 1996;16;650,00;0,00;0,00;0,00;0,00;0,00;;
frre21;Renaudin Brut Reserve Special Methusalem 1990;15;2.750,00;0,00;0,00;0,00;0,00;0,00;;
frre1;Renaudin Demi Sec;15;182,00;74,40;42,00;0,00;42,00;0,00;;
frre2;Renaudin Rosé;15;182,00;109,75;36,00;0,00;36,00;0,00;;
frfo10;Reserve de L'Abbé cotes du rhone 2013;11;44,00;14,80;67,00;0,00;67,00;0,00;;
frro5;Reynardiere Rose;11;0,00;0,00;0,00;0,00;0,00;0,00;;
itca7;ricchi capino;11;0,00;0,00;0,00;0,00;0,00;0,00;;
itca2;ricchi Chardonnay;11;0,00;25,00;0,00;0,00;0,00;0,00;;
itca6;ricchi ribo;11;0,00;0,00;0,00;0,00;0,00;0,00;;
øsmu7;Riesling Göttweiger Berg;11;66,00;30,28;84,00;36,00;48,00;120,00;;
øsmu12;Riesling Therese Trockenbeerenauslese;11;175,00;0,00;0,00;0,00;0,00;12,00;;
spiw4;Rioja – Quinta Avenida Reserva 2007;11;48,00;20,25;222,00;0,00;222,00;0,00;;
spiw1;Rioja – Séptima Avenida Tempranillo 2011;11;32,00;0,00;0,00;0,00;0,00;0,00;;
spvi2;Rioja Burgo Víejo Crianza/Fincas Los Principes Crianza 2009;11;52,00;24,75;252,00;0,00;252,00;0,00;;
spvi3;Rioja Burgo Viejo Reserva/Fincas Los Principes Reserva 2006;11;74,00;0,00;0,00;0,00;0,00;0,00;;
itva4;Ripasso 2007/2008;11;62,00;35,00;0,00;0,00;0,00;0,00;;
itva5;Riserva Classico Superiore;11;0,00;0,00;0,00;0,00;0,00;0,00;;
itla7;Riso Carbaroli Sotto Vuoto;21;33,00;21,34;140,00;0,00;140,00;0,00;;
frje9;Rouge Monseigneur;11;0,00;61,00;0,00;0,00;0,00;0,00;;
frro2;Roumanieres Garrics 2007;11;78,00;0,00;0,00;0,00;0,00;0,00;;
frfe;Rousanne/ Picpoul 2012;11;55,00;24,15;120,00;0,00;120,00;0,00;;
frje8;Saint Roch;11;0,00;0,00;0,00;0,00;0,00;0,00;;
spco8;San Millan Crianza;11;55,00;19,35;528,00;24,00;504,00;0,00;;
spco10;San Millan Organic;11;65,00;26,05;582,00;36,00;546,00;0,00;;
spco9;San Millan Reserva;11;65,00;26,06;444,00;0,00;444,00;0,00;;
frfo1;Sancerre;11;90,00;0,00;0,00;0,00;0,00;0,00;;
itgr1;Sangiovese/Cab;11;0,00;33,00;0,00;0,00;0,00;0,00;;
itsa7;Sardus Pater Amentos Passito ½ fl. 2010;11;110,00;0,00;0,00;0,00;0,00;0,00;;
øsmu9;Sauvignon Blanc Eichberg;11;75,00;36,70;72,00;0,00;72,00;60,00;;
frse18;Savigney Godeaux;11;130,00;0,00;0,00;0,00;0,00;0,00;;
frse7;Savigny Goudeaux;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frse5;Savigny Goudelettes;11;0,00;90,00;0,00;0,00;0,00;0,00;;
frse19;Savigny VV;11;130,00;0,00;0,00;0,00;0,00;0,00;;
itto23;Scuola Grande Amarosso 2012 Romeo & Juliet;11;50,00;19,41;396,00;0,00;396,00;0,00;;
spfi4;Secua Cabernet-Syrah 2009;11;130,00;71,66;144,00;0,00;144,00;0,00;;
spfi8;Secua Chardonnay Sweet;11;48,00;18,58;35,00;0,00;35,00;0,00;;
spfi10;Secua White in Lees;11;98,00;0,00;0,00;0,00;0,00;0,00;;
frse31;Seguin Manuel Macon Villages 2013;11;86,00;44,27;144,00;0,00;144,00;0,00;;
frse;Seguin-Manuel;11;0,00;0,00;0,00;0,00;0,00;0,00;;
DKtwc2;Selva Volpina Pinot Grigio;1;0,00;25,32;548,00;0,00;548,00;0,00;;
DKtwc1;Selva Volpina Sangiovese;1;0,00;25,32;460,00;18,00;442,00;0,00;;
itca12;Serra della Ciavole/Ferrocinto Aglianico Barrigue 2011;11;80,00;38,71;126,00;0,00;126,00;0,00;;
itdu4;Si 2010 Rosé;11;112,00;62,00;0,00;0,00;0,00;0,00;;
itfo6;Sorpasso 2008;11;195,00;118,89;0,00;0,00;0,00;0,00;;
itto21;Spritz;10;38,00;17,73;138,00;0,00;138,00;0,00;;
itdu3;Suisassi 2007/08/09;11;420,00;0,00;0,00;0,00;0,00;0,00;;
itdu7;Suisassi MG;11;0,00;0,00;0,00;0,00;0,00;0,00;;
alle;Taget i Allerød;2;0,00;0,00;0,00;0,00;0,00;0,00;;
itla6;Tajarin All´Uovo Sac;21;22,00;19,47;192,00;32,00;160,00;0,00;;
øsmu17;Tassilo Riesling Süssenberg Reserve Berg;11;110,00;53,16;36,00;0,00;36,00;0,00;;
itca11;Terre de Consenza /Ferrocinto Magliocco Barrigue 2011;11;72,00;38,69;78,00;0,00;78,00;0,00;;
itca14;Terre de Consenza /Ferrocinto Magliocco Barrigue 2013;11;75,00;37,27;300,00;0,00;300,00;0,00;;
itsa1;"Terre Fenicie ""Vermentino di Sardegna"" 2013";11;63,00;28,27;42,00;0,00;42,00;0,00;;
frde16;Terrine a la Vielle Prunes;21;12,00;5,50;144,00;0,00;144,00;120,00;;
frde10;Terrine de Caille Au Sauternes 100 gr;21;12,00;6,03;420,00;0,00;420,00;0,00;;
frde11;Terrine de Campagne Aux Cepes 100 gr;21;12,00;5,51;228,00;0,00;228,00;240,00;;
frde15;Terrine de Canard aux Figues;21;11,00;0,00;0,00;0,00;0,00;0,00;;
frde12;Terrine de D'Oie Aux Quatre Epices 100 gr;21;12,00;6,18;420,00;0,00;420,00;0,00;;
frde13;Terrine de Lapin Saveurs Garrigues 100 gr;21;12,00;6,03;204,00;0,00;204,00;120,00;;
frde9;Terrine D'Oie Au Foie Gras de Canard 20% 130 gr;21;19,00;0,00;0,00;0,00;0,00;0,00;;
frha1;testvare;11;1,00;0,00;0,00;0,00;0,00;0,00;;
frpu6;Tete de Bellier Blanc 2012;11;170,00;0,00;0,00;0,00;0,00;0,00;;
frpu16;Tete de Bellier hvid MG;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frpu17;Tete de Bellier rød MG;11;310,00;0,00;0,00;0,00;0,00;0,00;;
itca4;Timpa di Principer Greco 2011;11;48,00;17,73;24,00;0,00;24,00;0,00;;
itto24;Tombacco Ca del doge Chardonnay;11;32,00;0,00;0,00;0,00;0,00;0,00;;
itto25;Tombacco Piantaferro Syrah 2012;11;39,00;0,00;0,00;0,00;0,00;0,00;;
frma1;Tradition;11;25,00;0,00;0,00;0,00;0,00;0,00;;
itto22;Trevisana Passito Pinot Grigio;11;52,00;0,00;0,00;0,00;0,00;0,00;;
artr1;Trumpeter Chardonnay;12;55,00;19,94;1.026,00;60,00;966,00;0,00;;
artr2;Trumpeter Malbec;12;55,00;19,88;210,00;0,00;210,00;0,00;;
itfo9;URSUS Montepulciano D'Abruzzo 2011;11;67,00;28,84;78,00;12,00;66,00;0,00;;
itfo8;URSUS RISERVA Montepulciano D'Abruzzo 2009;11;79,00;39,39;372,00;24,00;348,00;0,00;;
spiw5;Valdepeñas Finca Los Altos - Grand Reserva 2005;11;40,00;13,88;150,00;0,00;150,00;0,00;;
spiw2;Valdepeñas Finca Los Altos - Reserva 2007;11;34,00;0,00;0,00;0,00;0,00;0,00;;
itma21;Valpolicella Borgo 2011;11;69,00;36,53;180,00;36,00;144,00;0,00;;
itma4;Valpolicella Borgomarcellise 2012;11;64,00;36,57;432,00;36,00;396,00;0,00;;
itva2;Valpolicella Classico;11;44,00;22,00;0,00;0,00;0,00;0,00;;
itma3;Valpolicella Sup. 2009;11;150,00;0,00;0,00;0,00;0,00;0,00;;
itma23;Valpolicella Sup. 2010;11;150,00;89,44;30,00;12,00;18,00;0,00;;
itma14;Valpolicella Sup.2008 3L.;11;700,00;462,41;0,00;0,00;0,00;0,00;;
itva6;Vantini Amarone 2009;11;150,00;89,57;18,00;0,00;18,00;0,00;;
itva8;Vantini Recioto 0,5 l. 2011;11;122,00;0,00;0,00;0,00;0,00;0,00;;
itva11;Vantini Ripasso 2011;11;64,00;0,00;0,00;0,00;0,00;0,00;;
itva;Vantini Riserva;11;72,00;0,00;0,00;0,00;0,00;0,00;;
frai5;VDP Chardonnay;11;46,00;0,00;0,00;0,00;0,00;0,00;;
frai2;VDP Malbec;11;57,00;0,00;0,00;0,00;0,00;0,00;;
frje3;Villa des Anges CS;11;0,00;18,00;0,00;0,00;0,00;0,00;;
frje4;Villa des Anges SB;11;0,00;0,00;0,00;0,00;0,00;0,00;;
spce1;Villacampa Crianza 2008;11;84,00;46,72;393,00;0,00;393,00;0,00;;
spce2;Villacampa Reserva;11;126,00;33,63;60,00;0,00;60,00;0,00;;
spfi2;Vinanza Tempranillo;11;34,00;9,56;288,00;0,00;288,00;0,00;;
spfi1;Vinanza Verdejo;11;34,00;0,00;0,00;0,00;0,00;0,00;;
itma26;Vino Passoto Bianco 2004 375 mæ;11;150,00;89,52;30,00;30,00;0,00;0,00;;
frse9;Vir‚ Clesse;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frse14;Vire-Clesse 2012;11;86,00;46,98;66,00;30,00;36,00;0,00;;
itvo4;Voghera Barbera d'Alba 2009/2010;11;60,00;0,00;0,00;0,00;0,00;0,00;;
itvo10;Voghera Barbera d'Alba 2012;11;60,00;27,62;204,00;12,00;192,00;0,00;;
itvo12;Voghera Barbera d'Alba Basarin 2010;11;112,00;63,45;0,00;0,00;0,00;0,00;;
itvo11;Voghera Barbera d'Alba Basarin 2011;11;112,00;63,44;144,00;30,00;114,00;0,00;;
itvo5;Voghera Barbera d'Alba Basarin 2012;11;112,00;0,00;0,00;0,00;0,00;0,00;;
itvo3;Voghera Barbera d'Alba Superiore 2010;11;80,00;0,00;0,00;0,00;0,00;0,00;;
itvo13;Voghera Barbera d'Alba Superiore 2011;11;80,00;41,05;90,00;12,00;78,00;0,00;;
itvo15;Voghera Barberesco Basarin 2009;11;135,00;89,57;24,00;0,00;24,00;0,00;;
itvo1;Voghera Barberesco DOCG 2009;11;125,00;74,63;12,00;0,00;12,00;0,00;;
itvo6;Voghera Dolcetto;11;0,00;26,00;0,00;0,00;0,00;0,00;;
itvo14;Voghera methodo classico spumante;11;112,00;0,00;0,00;0,00;0,00;0,00;;
itvo9;Voghera Moscato D`Asti;11;59,00;0,00;0,00;0,00;0,00;0,00;;
itvo8;Voghera Riserva MAG.;11;0,00;0,00;0,00;0,00;0,00;0,00;;
frse17;Volnay 1er Cru Le Ronceret;11;250,00;0,00;0,00;0,00;0,00;0,00;;
spvo1;Volver Paso Al Paso;11;47,00;17,53;252,00;0,00;252,00;0,00;;
spvo2;Volver Single Vineyard;11;78,00;0,00;0,00;0,00;0,00;0,00;;
dkbawl;White Lady;1;37,00;24,75;1.140,00;282,00;858,00;0,00;;
øsmu19;Zweigelt Reserve;11;85,00;0,00;0,00;0,00;0,00;24,00;;
øsmu10;Zweigelt Rose Sparkling;11;60,00;25,25;120,00;36,00;84,00;60,00;;
øsmu3;Zweigelt Selektion;11;57,00;24,17;162,00;0,00;162,00;0,00;;
